run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,1327,0.00258456,-0.71569,0.913584,0.007845,-0.73221,0.936159,38.0321,38.0749,0.666088,0.0414438,-1.10424,0,0,-6.90366,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:22,12:54","11,0,211,2112,22"
11,3570,-0.654372,-0.0462427,0.824849,-0.692128,-0.069735,0.861879,38.9074,38.4953,0.0587939,-0.247792,-1.68622,0,0,-1.76953,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:46","11,0,211,22"
11,1309,0.616178,0.398419,0.934172,0.62515,0.428557,1.01148,36.8455,38.1487,-0.241089,0.32969,-1.8955,0,0,-8.75804,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21","11,321,211,2112"
11,4856,0.633376,0.266917,0.878527,0.64073,0.284146,0.905427,37.7442,38.038,-0.00495343,-0.0894507,-1.17914,0,0,-1.56422,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,0,211"
11,3723,0.423765,0.59596,0.9176,0.431984,0.673151,0.946361,40.2036,38.5524,-1.28681,0.881918,-6.85895,0,0,-0.440433,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:49","11,321,211"
11,162,-0.427572,-0.482336,0.810901,-0.439103,-0.500108,0.826117,38.855,38.4804,0.2977,-0.239163,-1.24312,0,0,-3.64579,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:48","11,211,0"
11,3894,-0.0769722,0.670246,0.863475,-0.066413,0.673719,0.873305,37.7828,38.0013,0.476325,0.0191858,-2.21395,0,0,-3.04532,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,0"
11,559,-0.466749,0.4882,0.842435,-0.910683,1.32051,1.92642,39.7833,38.7209,8.11992,7.72772,-9.10657,0,0,0.692369,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:40","11,2212,211,2112,2112,22,2112,2112"
11,1921,-0.589258,-0.406571,0.903317,-0.605387,-0.44808,0.967788,37.8915,38.398,0.150984,-0.18534,-2.83921,0,0,0.420331,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,321,211,2112,2112"
11,1586,-0.700976,0.237548,0.927119,-0.70452,0.235996,0.936333,38.4326,38.6009,0.23524,0.628939,-0.368736,0,0,-4.5572,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,0,211,2112,22,22,22"
11,4539,-0.0372243,-0.716637,0.911792,-0.035298,-0.732763,0.934334,38.138,38.2036,0.0775,0.0192632,-1.13742,0,0,-2.03806,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:54","11,211,0"
11,3853,0.212713,0.67373,0.880768,0.203879,0.712444,0.923449,38.7461,38.735,-0.420685,0.11532,-1.0616,0,0,0.182088,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,321,211"
11,2015,-0.178708,0.670067,0.868253,-0.248022,0.72236,0.939052,39.1223,38.615,-1.96393,-0.565963,-1.96596,0,0,-2.31691,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:53","11,321,211,2112"
11,2891,0.648353,0.142266,0.821725,0.649104,0.142273,0.829854,38.6863,38.9308,0.0489694,-0.385859,-0.249148,0,0,-7.50038,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:50","11,0,211,22,22"
11,77,0.177349,-0.648865,0.860866,0.970365,-1.46285,2.19702,38.6251,38.0034,4.12166,1.1507,-4.46618,0,0,-5.97077,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:53","11,2212,211"
